keyword,bifido_delta,lacto_delta,akkermansia_delta,enterobacteriaceae_delta,diversity_delta,scfa_delta,barrier_risk,notes
high fructose corn syrup,-0.04,-0.03,-0.02,0.08,-0.06,-0.05,0.12,rapidly fermentable sugar; dysbiosis risk in high-dose animal/human meal studies
corn syrup,-0.03,-0.02,-0.02,0.06,-0.05,-0.04,0.09,refined sugar stream; fermentation load
invert sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.07,similar to other refined sugars
maltodextrin,-0.04,-0.03,-0.02,0.06,-0.05,-0.04,0.08,rapidly absorbed; microbial substrate shifts
brown sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,sucrose-based
cane sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,sucrose
powdered sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,sucrose + starch
invert cane sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,
turbinado sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,
dextrose,-0.03,-0.02,-0.02,0.05,-0.04,-0.03,0.07,monosaccharide
glucose syrup,-0.03,-0.02,-0.02,0.06,-0.05,-0.04,0.08,
glucose,-0.02,-0.02,-0.01,0.04,-0.03,-0.02,0.05,
fructose,-0.02,-0.02,-0.01,0.05,-0.03,-0.03,0.06,
sucrose,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,table sugar
honey,-0.02,-0.02,-0.01,0.04,-0.03,-0.02,0.05,mixed mono/disaccharides
molasses,-0.02,-0.02,-0.01,0.04,-0.03,-0.02,0.05,
agave syrup,-0.03,-0.02,-0.02,0.06,-0.04,-0.03,0.07,high fructose load
maple syrup,-0.02,-0.02,-0.01,0.04,-0.03,-0.02,0.05,
sugar,-0.03,-0.02,-0.01,0.05,-0.04,-0.03,0.06,generic sucrose wording
whole grain oats,0.04,0.03,0.02,-0.02,0.05,0.06,-0.04,beta-glucan fiber; SCFA-positive human data
